"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/01/01","00:00","4.216","-","4.75"
"2024/01/01","01:00","3.962","-","4.43"
"2024/01/01","02:00","3.385","-","3.77"
"2024/01/01","03:00","2.547","-","2.83"
"2024/01/01","04:00","1.606","-","1.95"
"2024/01/01","05:00","0.782","-","1.28"
"2024/01/01","06:00","0.233","-","0.71"
"2024/01/01","07:00","-0.007","-","0.32"
"2024/01/01","08:00","0.079","-","0.23"
"2024/01/01","09:00","0.555","-","0.74"
"2024/01/01","10:00","1.376","-","1.76"
"2024/01/01","11:00","2.293","-","2.81"
"2024/01/01","12:00","3.067","-","3.6"
"2024/01/01","13:00","3.617","-","4.07"
"2024/01/01","14:00","3.888","-","4.27"
"2024/01/01","15:00","3.792","-","4.24"
"2024/01/01","16:00","3.341","-","3.86"
"2024/01/01","17:00","2.714","-","3.23"
"2024/01/01","18:00","2.153","-","2.65"
"2024/01/01","19:00","1.814","-","2.33"
"2024/01/01","20:00","1.754","-","2.41"
"2024/01/01","21:00","2.026","-","2.78"
"2024/01/01","22:00","2.609","-","3.35"
"2024/01/01","23:00","3.268","-","3.92"
"2024/01/02","00:00","3.692","-","4.25"
"2024/01/02","01:00","3.761","-","4.21"
"2024/01/02","02:00","3.507","-","3.86"
"2024/01/02","03:00","2.958","-","3.19"
"2024/01/02","04:00","2.165","-","2.36"
"2024/01/02","05:00","1.299","-","1.58"
"2024/01/02","06:00","0.592","-","0.97"
"2024/01/02","07:00","0.198","-","0.48"
"2024/01/02","08:00","0.136","-","0.25"
"2024/01/02","09:00","0.406","-","0.48"
"2024/01/02","10:00","1.034","-","1.21"
"2024/01/02","11:00","1.913","-","2.23"
"2024/01/02","12:00","2.771","-","3.14"
"2024/01/02","13:00","3.411","-","3.79"
"2024/01/02","14:00","3.799","-","4.13"
"2024/01/02","15:00","3.9","-","4.28"
"2024/01/02","16:00","3.655","-","4.14"
"2024/01/02","17:00","3.108","-","3.65"
"2024/01/02","18:00","2.454","-","2.96"
"2024/01/02","19:00","1.911","-","2.38"
"2024/01/02","20:00","1.59","-","2.1"
"2024/01/02","21:00","1.526","-","2.13"
"2024/01/02","22:00","1.769","-","2.44"
"2024/01/02","23:00","2.295","-","2.95"
"2024/01/03","00:00","2.874","-","3.51"
"2024/01/03","01:00","3.241","-","3.91"
"2024/01/03","02:00","3.318","-","3.99"
"2024/01/03","03:00","3.124","-","3.7"
"2024/01/03","04:00","2.65","-","3.2"
"2024/01/03","05:00","1.941","-","2.42"
"2024/01/03","06:00","1.18","-","1.71"
"2024/01/03","07:00","0.607","-","1.22"
"2024/01/03","08:00","0.364","-","0.95"
"2024/01/03","09:00","0.454","-","0.95"
"2024/01/03","10:00","0.865","-","1.34"
"2024/01/03","11:00","1.593","-","2.17"
"2024/01/03","12:00","2.481","-","3.06"
"2024/01/03","13:00","3.251","-","3.8"
"2024/01/03","14:00","3.751","-","4.3"
"2024/01/03","15:00","3.981","-","4.55"
"2024/01/03","16:00","3.924","-","4.55"
"2024/01/03","17:00","3.544","-","4.18"
"2024/01/03","18:00","2.917","-","3.51"
"2024/01/03","19:00","2.242","-","2.82"
"2024/01/03","20:00","1.703","-","2.28"
"2024/01/03","21:00","1.369","-","1.95"
"2024/01/03","22:00","1.264","-","1.78"
"2024/01/03","23:00","1.454","-","1.9"
"2024/01/04","00:00","1.921","-","2.27"
"2024/01/04","01:00","2.45","-","2.78"
"2024/01/04","02:00","2.818","-","3.14"
"2024/01/04","03:00","2.967","-","3.24"
"2024/01/04","04:00","2.882","-","2.95"
"2024/01/04","05:00","2.517","-","2.39"
"2024/01/04","06:00","1.912","-","1.77"
"2024/01/04","07:00","1.265","-","1.21"
"2024/01/04","08:00","0.82","-","0.83"
"2024/01/04","09:00","0.702","-","0.72"
"2024/01/04","10:00","0.903","-","0.86"
"2024/01/04","11:00","1.412","-","1.43"
"2024/01/04","12:00","2.196","-","2.26"
"2024/01/04","13:00","3.06","-","3.06"
"2024/01/04","14:00","3.729","-","3.69"
"2024/01/04","15:00","4.092","-","4.09"
"2024/01/04","16:00","4.174","-","4.31"
"2024/01/04","17:00","3.967","-","4.19"
"2024/01/04","18:00","3.462","-","3.69"
"2024/01/04","19:00","2.762","-","2.88"
"2024/01/04","20:00","2.061","-","2.13"
"2024/01/04","21:00","1.504","-","1.55"
"2024/01/04","22:00","1.128","-","1.17"
"2024/01/04","23:00","0.964","-","0.92"
"2024/01/05","00:00","1.104","-","1.02"
"2024/01/05","01:00","1.541","-","1.46"
"2024/01/05","02:00","2.07","-","2.07"
"2024/01/05","03:00","2.5","-","2.59"
"2024/01/05","04:00","2.77","-","2.8"
"2024/01/05","05:00","2.82","-","2.69"
"2024/01/05","06:00","2.571","-","2.36"
"2024/01/05","07:00","2.066","-","1.92"
"2024/01/05","08:00","1.52","-","1.48"
"2024/01/05","09:00","1.176","-","1.22"
"2024/01/05","10:00","1.147","-","1.2"
"2024/01/05","11:00","1.423","-","1.46"
"2024/01/05","12:00","1.995","-","2.08"
"2024/01/05","13:00","2.808","-","2.87"
"2024/01/05","14:00","3.63","-","3.57"
"2024/01/05","15:00","4.197","-","4.05"
"2024/01/05","16:00","4.431","-","4.36"
"2024/01/05","17:00","4.371","-","4.42"
"2024/01/05","18:00","4.019","-","4.13"
"2024/01/05","19:00","3.392","-","3.38"
"2024/01/05","20:00","2.618","-","2.52"
"2024/01/05","21:00","1.88","-","1.77"
"2024/01/05","22:00","1.289","-","1.14"
"2024/01/05","23:00","0.859","-","0.65"
"2024/01/06","00:00","0.643","-","0.34"
"2024/01/06","01:00","0.764","-","0.44"
"2024/01/06","02:00","1.216","-","0.97"
"2024/01/06","03:00","1.8","-","1.68"
"2024/01/06","04:00","2.34","-","2.32"
"2024/01/06","05:00","2.754","-","2.71"
"2024/01/06","06:00","2.935","-","2.78"
"2024/01/06","07:00","2.779","-","2.62"
"2024/01/06","08:00","2.346","-","2.31"
"2024/01/06","09:00","1.872","-","1.94"
"2024/01/06","10:00","1.598","-","1.72"
"2024/01/06","11:00","1.626","-","1.81"
"2024/01/06","12:00","1.949","-","2.21"
"2024/01/06","13:00","2.565","-","2.86"
"2024/01/06","14:00","3.393","-","3.6"
"2024/01/06","15:00","4.171","-","4.23"
"2024/01/06","16:00","4.642","-","4.65"
"2024/01/06","17:00","4.754","-","4.89"
"2024/01/06","18:00","4.556","-","4.85"
"2024/01/06","19:00","4.059","-","4.44"
"2024/01/06","20:00","3.31","-","3.63"
"2024/01/06","21:00","2.459","-","2.77"
"2024/01/06","22:00","1.68","-","2.02"
"2024/01/06","23:00","1.048","-","1.47"
"2024/01/07","00:00","0.571","-","0.95"
"2024/01/07","01:00","0.333","-","0.53"
"2024/01/07","02:00","0.48","-","0.54"
"2024/01/07","03:00","0.997","-","1.11"
"2024/01/07","04:00","1.68","-","1.93"
"2024/01/07","05:00","2.351","-","2.66"
"2024/01/07","06:00","2.899","-","3.07"
"2024/01/07","07:00","3.174","-","3.16"
"2024/01/07","08:00","3.068","-","3.02"
"2024/01/07","09:00","2.669","-","2.74"
"2024/01/07","10:00","2.234","-","2.36"
"2024/01/07","11:00","2.003","-","2.05"
"2024/01/07","12:00","2.065","-","2.05"
"2024/01/07","13:00","2.421","-","2.46"
"2024/01/07","14:00","3.077","-","3.15"
"2024/01/07","15:00","3.921","-","3.91"
"2024/01/07","16:00","4.659","-","4.53"
"2024/01/07","17:00","5.044","-","4.88"
"2024/01/07","18:00","5.044","-","5.01"
"2024/01/07","19:00","4.707","-","4.81"
"2024/01/07","20:00","4.064","-","4.11"
"2024/01/07","21:00","3.195","-","3.07"
"2024/01/07","22:00","2.272","-","2.14"
"2024/01/07","23:00","1.453","-","1.4"
"2024/01/08","00:00","0.787","-","0.76"
"2024/01/08","01:00","0.284","-","0.24"
"2024/01/08","02:00","0.064","-","-0.06"
"2024/01/08","03:00","0.286","-","0.11"
"2024/01/08","04:00","0.909","-","0.84"
"2024/01/08","05:00","1.713","-","1.8"
"2024/01/08","06:00","2.509","-","2.62"
"2024/01/08","07:00","3.151","-","3.12"
"2024/01/08","08:00","3.463","-","3.32"
"2024/01/08","09:00","3.355","-","3.26"
"2024/01/08","10:00","2.952","-","2.95"
"2024/01/08","11:00","2.531","-","2.5"
"2024/01/08","12:00","2.322","-","2.16"
"2024/01/08","13:00","2.405","-","2.2"
"2024/01/08","14:00","2.794","-","2.65"
"2024/01/08","15:00","3.496","-","3.39"
"2024/01/08","16:00","4.364","-","4.2"
"2024/01/08","17:00","5.074","-","4.82"
"2024/01/08","18:00","5.384","-","5.16"
"2024/01/08","19:00","5.276","-","5.19"
"2024/01/08","20:00","4.804","-","4.75"
"2024/01/08","21:00","4.019","-","3.8"
"2024/01/08","22:00","3.04","-","2.68"
"2024/01/08","23:00","2.054","-","1.76"
"2024/01/09","00:00","1.202","-","1.09"
"2024/01/09","01:00","0.513","-","0.45"
"2024/01/09","02:00","0.012","-","-0.13"
"2024/01/09","03:00","-0.145","-","-0.44"
"2024/01/09","04:00","0.196","-","-0.14"
"2024/01/09","05:00","0.953","-","0.81"
"2024/01/09","06:00","1.877","-","1.94"
"2024/01/09","07:00","2.763","-","2.8"
"2024/01/09","08:00","3.44","-","3.31"
"2024/01/09","09:00","3.727","-","3.47"
"2024/01/09","10:00","3.568","-","3.37"
"2024/01/09","11:00","3.132","-","2.98"
"2024/01/09","12:00","2.707","-","2.48"
"2024/01/09","13:00","2.507","-","2.19"
"2024/01/09","14:00","2.605","-","2.33"
"2024/01/09","15:00","3.034","-","2.95"
"2024/01/09","16:00","3.797","-","3.83"
"2024/01/09","17:00","4.704","-","4.65"
"2024/01/09","18:00","5.396","-","5.24"
"2024/01/09","19:00","5.642","-","5.49"
"2024/01/09","20:00","5.433","-","5.47"
"2024/01/09","21:00","4.831","-","4.91"
"2024/01/09","22:00","3.916","-","3.8"
"2024/01/09","23:00","2.842","-","2.63"
"2024/01/10","00:00","1.805","-","1.73"
"2024/01/10","01:00","0.928","-","1.08"
"2024/01/10","02:00","0.232","-","0.37"
"2024/01/10","03:00","-0.233","-","-0.21"
"2024/01/10","04:00","-0.282","-","-0.36"
"2024/01/10","05:00","0.215","-","0.08"
"2024/01/10","06:00","1.115","-","1.17"
"2024/01/10","07:00","2.136","-","2.32"
"2024/01/10","08:00","3.06","-","3.11"
"2024/01/10","09:00","3.706","-","3.51"
"2024/01/10","10:00","3.912","-","3.6"
"2024/01/10","11:00","3.666","-","3.44"
"2024/01/10","12:00","3.177","-","3.04"
"2024/01/10","13:00","2.733","-","2.48"
"2024/01/10","14:00","2.532","-","2.18"
"2024/01/10","15:00","2.648","-","2.44"
"2024/01/10","16:00","3.131","-","3.19"
"2024/01/10","17:00","3.973","-","4.16"
"2024/01/10","18:00","4.929","-","5.03"
"2024/01/10","19:00","5.61","-","5.53"
"2024/01/10","20:00","5.797","-","5.77"
"2024/01/10","21:00","5.495","-","5.68"
"2024/01/10","22:00","4.777","-","4.95"
"2024/01/10","23:00","3.751","-","3.78"
"2024/01/11","00:00","2.599","-","2.67"
"2024/01/11","01:00","1.522","-","1.81"
"2024/01/11","02:00","0.63","-","1.11"
"2024/01/11","03:00","-0.051","-","0.42"
"2024/01/11","04:00","-0.437","-","-0.05"
"2024/01/11","05:00","-0.329","-","-0.11"
"2024/01/11","06:00","0.349","-","0.56"
"2024/01/11","07:00","1.381","-","1.84"
"2024/01/11","08:00","2.457","-","2.93"
"2024/01/11","09:00","3.359","-","3.6"
"2024/01/11","10:00","3.915","-","3.87"
"2024/01/11","11:00","3.994","-","3.85"
"2024/01/11","12:00","3.638","-","3.53"
"2024/01/11","13:00","3.08","-","2.91"
"2024/01/11","14:00","2.607","-","2.28"
"2024/01/11","15:00","2.402","-","1.95"
"2024/01/11","16:00","2.544","-","2.24"
"2024/01/11","17:00","3.1","-","3.07"
"2024/01/11","18:00","4.031","-","4.09"
"2024/01/11","19:00","5.034","-","4.96"
"2024/01/11","20:00","5.7","-","5.45"
"2024/01/11","21:00","5.829","-","5.6"
"2024/01/11","22:00","5.443","-","5.32"
"2024/01/11","23:00","4.629","-","4.38"
"2024/01/12","00:00","3.516","-","3.1"
"2024/01/12","01:00","2.307","-","2.01"
"2024/01/12","02:00","1.204","-","1.26"
"2024/01/12","03:00","0.317","-","0.53"
"2024/01/12","04:00","-0.311","-","-0.24"
"2024/01/12","05:00","-0.565","-","-0.69"
"2024/01/12","06:00","-0.259","-","-0.59"
"2024/01/12","07:00","0.605","-","0.37"
"2024/01/12","08:00","1.738","-","1.67"
"2024/01/12","09:00","2.815","-","2.75"
"2024/01/12","10:00","3.637","-","3.43"
"2024/01/12","11:00","4.054","-","3.71"
"2024/01/12","12:00","3.979","-","3.69"
"2024/01/12","13:00","3.496","-","3.29"
"2024/01/12","14:00","2.862","-","2.57"
"2024/01/12","15:00","2.357","-","1.97"
"2024/01/12","16:00","2.151","-","1.76"
"2024/01/12","17:00","2.331","-","2.18"
"2024/01/12","18:00","2.968","-","3.1"
"2024/01/12","19:00","3.982","-","4.16"
"2024/01/12","20:00","5.01","-","4.99"
"2024/01/12","21:00","5.644","-","5.44"
"2024/01/12","22:00","5.716","-","5.52"
"2024/01/12","23:00","5.264","-","5.12"
"2024/01/13","00:00","4.38","-","4.06"
"2024/01/13","01:00","3.21","-","2.76"
"2024/01/13","02:00","1.968","-","1.7"
"2024/01/13","03:00","0.867","-","0.97"
"2024/01/13","04:00","0.023","-","0.25"
"2024/01/13","05:00","-0.5","-","-0.46"
"2024/01/13","06:00","-0.571","-","-0.78"
"2024/01/13","07:00","-0.043","-","-0.38"
"2024/01/13","08:00","0.986","-","0.8"
"2024/01/13","09:00","2.17","-","2.11"
"2024/01/13","10:00","3.191","-","3.08"
"2024/01/13","11:00","3.884","-","3.66"
"2024/01/13","12:00","4.131","-","3.85"
"2024/01/13","13:00","3.886","-","3.72"
"2024/01/13","14:00","3.274","-","3.21"
"2024/01/13","15:00","2.568","-","2.44"
"2024/01/13","16:00","2.036","-","1.81"
"2024/01/13","17:00","1.837","-","1.67"
"2024/01/13","18:00","2.061","-","2.18"
"2024/01/13","19:00","2.768","-","3.18"
"2024/01/13","20:00","3.828","-","4.26"
"2024/01/13","21:00","4.843","-","5.05"
"2024/01/13","22:00","5.424","-","5.44"
"2024/01/13","23:00","5.444","-","5.43"
"2024/01/14","00:00","4.954","-","4.95"
"2024/01/14","01:00","4.037","-","3.89"
"2024/01/14","02:00","2.847","-","2.69"
"2024/01/14","03:00","1.612","-","1.74"
"2024/01/14","04:00","0.557","-","1.06"
"2024/01/14","05:00","-0.191","-","0.44"
"2024/01/14","06:00","-0.556","-","-0.11"
"2024/01/14","07:00","-0.409","-","-0.18"
"2024/01/14","08:00","0.332","-","0.58"
"2024/01/14","09:00","1.48","-","1.85"
"2024/01/14","10:00","2.652","-","3.03"
"2024/01/14","11:00","3.566","-","3.83"
"2024/01/14","12:00","4.098","-","4.21"
"2024/01/14","13:00","4.162","-","4.27"
"2024/01/14","14:00","3.749","-","3.95"
"2024/01/14","15:00","3.021","-","3.18"
"2024/01/14","16:00","2.257","-","2.27"
"2024/01/14","17:00","1.712","-","1.66"
"2024/01/14","18:00","1.524","-","1.54"
"2024/01/14","19:00","1.776","-","1.93"
"2024/01/14","20:00","2.513","-","2.82"
"2024/01/14","21:00","3.565","-","3.88"
"2024/01/14","22:00","4.52","-","4.66"
"2024/01/14","23:00","5.035","-","5"
"2024/01/15","00:00","5.026","-","4.96"
"2024/01/15","01:00","4.536","-","4.4"
"2024/01/15","02:00","3.634","-","3.25"
"2024/01/15","03:00","2.473","-","2.04"
"2024/01/15","04:00","1.298","-","1.15"
"2024/01/15","05:00","0.344","-","0.46"
"2024/01/15","06:00","-0.257","-","-0.18"
"2024/01/15","07:00","-0.429","-","-0.52"
"2024/01/15","08:00","-0.065","-","-0.34"
"2024/01/15","09:00","0.848","-","0.73"
"2024/01/15","10:00","2.048","-","2.09"
"2024/01/15","11:00","3.149","-","3.18"
"2024/01/15","12:00","3.922","-","3.88"
"2024/01/15","13:00","4.28","-","4.21"
"2024/01/15","14:00","4.168","-","4.22"
"2024/01/15","15:00","3.608","-","3.77"
"2024/01/15","16:00","2.79","-","2.87"
"2024/01/15","17:00","1.993","-","1.94"
"2024/01/15","18:00","1.445","-","1.32"
"2024/01/15","19:00","1.255","-","1.18"
"2024/01/15","20:00","1.497","-","1.48"
"2024/01/15","21:00","2.204","-","2.32"
"2024/01/15","22:00","3.184","-","3.3"
"2024/01/15","23:00","4.046","-","4.07"
"2024/01/16","00:00","4.506","-","4.42"
"2024/01/16","01:00","4.506","-","4.39"
"2024/01/16","02:00","4.068","-","3.81"
"2024/01/16","03:00","3.236","-","2.79"
"2024/01/16","04:00","2.161","-","1.7"
"2024/01/16","05:00","1.102","-","0.84"
"2024/01/16","06:00","0.297","-","0.2"
"2024/01/16","07:00","-0.127","-","-0.29"
"2024/01/16","08:00","-0.107","-","-0.39"
"2024/01/16","09:00","0.437","-","0.21"
"2024/01/16","10:00","1.454","-","1.46"
"2024/01/16","11:00","2.637","-","2.7"
"2024/01/16","12:00","3.624","-","3.64"
"2024/01/16","13:00","4.241","-","4.2"
"2024/01/16","14:00","4.436","-","4.4"
"2024/01/16","15:00","4.172","-","4.27"
"2024/01/16","16:00","3.501","-","3.68"
"2024/01/16","17:00","2.629","-","2.69"
"2024/01/16","18:00","1.822","-","1.77"
"2024/01/16","19:00","1.266","-","1.23"
"2024/01/16","20:00","1.041","-","0.98"
"2024/01/16","21:00","1.219","-","1.14"
"2024/01/16","22:00","1.834","-","1.81"
"2024/01/16","23:00","2.699","-","2.76"
"2024/01/17","00:00","3.463","-","3.52"
"2024/01/17","01:00","3.902","-","3.91"
"2024/01/17","02:00","3.967","-","3.93"
"2024/01/17","03:00","3.638","-","3.49"
"2024/01/17","04:00","2.928","-","2.65"
"2024/01/17","05:00","1.989","-","1.68"
"2024/01/17","06:00","1.085","-","0.92"
"2024/01/17","07:00","0.452","-","0.37"
"2024/01/17","08:00","0.196","-","0.07"
"2024/01/17","09:00","0.371","-","0.3"
"2024/01/17","10:00","1.032","-","1.21"
"2024/01/17","11:00","2.082","-","2.46"
"2024/01/17","12:00","3.193","-","3.55"
"2024/01/17","13:00","4.044","-","4.34"
"2024/01/17","14:00","4.515","-","4.75"
"2024/01/17","15:00","4.574","-","4.88"
"2024/01/17","16:00","4.196","-","4.6"
"2024/01/17","17:00","3.454","-","3.82"
"2024/01/17","18:00","2.56","-","2.78"
"2024/01/17","19:00","1.752","-","1.89"
"2024/01/17","20:00","1.169","-","1.31"
"2024/01/17","21:00","0.864","-","0.95"
"2024/01/17","22:00","0.928","-","0.85"
"2024/01/17","23:00","1.413","-","1.23"
"2024/01/18","00:00","2.153","-","2.01"
"2024/01/18","01:00","2.849","-","2.8"
"2024/01/18","02:00","3.322","-","3.34"
"2024/01/18","03:00","3.508","-","3.47"
"2024/01/18","04:00","3.334","-","3.2"
"2024/01/18","05:00","2.783","-","2.57"
"2024/01/18","06:00","2.005","-","1.77"
"2024/01/18","07:00","1.267","-","1.07"
"2024/01/18","08:00","0.787","-","0.61"
"2024/01/18","09:00","0.658","-","0.51"
"2024/01/18","10:00","0.927","-","0.93"
"2024/01/18","11:00","1.639","-","1.86"
"2024/01/18","12:00","2.665","-","2.98"
"2024/01/18","13:00","3.674","-","3.88"
"2024/01/18","14:00","4.393","-","4.52"
"2024/01/18","15:00","4.743","-","4.86"
"2024/01/18","16:00","4.7","-","4.87"
"2024/01/18","17:00","4.246","-","4.42"
"2024/01/18","18:00","3.467","-","3.5"
"2024/01/18","19:00","2.57","-","2.46"
"2024/01/18","20:00","1.755","-","1.66"
"2024/01/18","21:00","1.114","-","1.02"
"2024/01/18","22:00","0.696","-","0.56"
"2024/01/18","23:00","0.621","-","0.33"
"2024/01/19","00:00","0.976","-","0.52"
"2024/01/19","01:00","1.62","-","1.15"
"2024/01/19","02:00","2.301","-","2.05"
"2024/01/19","03:00","2.867","-","2.76"
"2024/01/19","04:00","3.216","-","3.14"
"2024/01/19","05:00","3.218","-","3.13"
"2024/01/19","06:00","2.831","-","2.84"
"2024/01/19","07:00","2.205","-","2.34"
"2024/01/19","08:00","1.605","-","1.78"
"2024/01/19","09:00","1.234","-","1.41"
"2024/01/19","10:00","1.173","-","1.41"
"2024/01/19","11:00","1.478","-","1.81"
"2024/01/19","12:00","2.19","-","2.55"
"2024/01/19","13:00","3.159","-","3.48"
"2024/01/19","14:00","4.061","-","4.26"
"2024/01/19","15:00","4.669","-","4.82"
"2024/01/19","16:00","4.929","-","5.12"
"2024/01/19","17:00","4.815","-","5.15"
"2024/01/19","18:00","4.311","-","4.65"
"2024/01/19","19:00","3.513","-","3.72"
"2024/01/19","20:00","2.615","-","2.64"
"2024/01/19","21:00","1.778","-","1.8"
"2024/01/19","22:00","1.059","-","1.17"
"2024/01/19","23:00","0.517","-","0.68"
"2024/01/20","00:00","0.319","-","0.35"
"2024/01/20","01:00","0.58","-","0.4"
"2024/01/20","02:00","1.183","-","1.03"
"2024/01/20","03:00","1.911","-","2.01"
"2024/01/20","04:00","2.612","-","2.89"
"2024/01/20","05:00","3.136","-","3.46"
"2024/01/20","06:00","3.3","-","3.69"
"2024/01/20","07:00","3.044","-","3.62"
"2024/01/20","08:00","2.528","-","3.34"
"2024/01/20","09:00","2.016","-","2.95"
"2024/01/20","10:00","1.699","-","2.6"
"2024/01/20","11:00","1.653","-","2.58"
"2024/01/20","12:00","1.955","-","2.94"
"2024/01/20","13:00","2.643","-","3.59"
"2024/01/20","14:00","3.547","-","4.38"
"2024/01/20","15:00","4.356","-","5.08"
"2024/01/20","16:00","4.879","-","5.56"
"2024/01/20","17:00","5.075","-","5.79"
"2024/01/20","18:00","4.906","-","5.69"
"2024/01/20","19:00","4.361","-","5.11"
"2024/01/20","20:00","3.545","-","4.14"
"2024/01/20","21:00","2.639","-","3.17"
"2024/01/20","22:00","1.769","-","2.38"
"2024/01/20","23:00","0.97","-","1.74"
"2024/01/21","00:00","0.327","-","1.15"
"2024/01/21","01:00","0.054","-","0.72"
"2024/01/21","02:00","0.284","-","0.58"
"2024/01/21","03:00","0.911","-","1.11"
"2024/01/21","04:00","1.732","-","2.11"
"2024/01/21","05:00","2.582","-","3.12"
"2024/01/21","06:00","3.255","-","3.8"
"2024/01/21","07:00","3.528","-","4.14"
"2024/01/21","08:00","3.344","-","4.17"
"2024/01/21","09:00","2.882","-","3.96"
"2024/01/21","10:00","2.406","-","3.54"
"2024/01/21","11:00","2.095","-","3.12"
"2024/01/21","12:00","2.035","-","2.96"
"2024/01/21","13:00","2.32","-","3.22"
"2024/01/21","14:00","2.984","-","3.8"
"2024/01/21","15:00","3.837","-","4.56"
"2024/01/21","16:00","4.574","-","5.26"
"2024/01/21","17:00","5.034","-","5.7"
"2024/01/21","18:00","5.174","-","5.87"
"2024/01/21","19:00","4.948","-","5.68"
"2024/01/21","20:00","4.355","-","5.05"
"2024/01/21","21:00","3.513","-","4.04"
"2024/01/21","22:00","2.593","-","3.07"
"2024/01/21","23:00","1.691","-","2.24"
"2024/01/22","00:00","0.834","-","1.58"
"2024/01/22","01:00","0.141","-","0.99"
"2024/01/22","02:00","-0.138","-","0.56"
"2024/01/22","03:00","0.132","-","0.54"
"2024/01/22","04:00","0.836","-","1.19"
"2024/01/22","05:00","1.771","-","2.3"
"2024/01/22","06:00","2.747","-","3.39"
"2024/01/22","07:00","3.508","-","4.1"
"2024/01/22","08:00","3.815","-","4.51"
"2024/01/22","09:00","3.636","-","4.61"
"2024/01/22","10:00","3.174","-","4.48"
"2024/01/22","11:00","2.695","-","4.13"
"2024/01/22","12:00","2.368","-","3.66"
"2024/01/22","13:00","2.287","-","3.38"
"2024/01/22","14:00","2.567","-","3.5"
"2024/01/22","15:00","3.227","-","4.04"
"2024/01/22","16:00","4.048","-","4.8"
"2024/01/22","17:00","4.734","-","5.53"
"2024/01/22","18:00","5.138","-","5.97"
"2024/01/22","19:00","5.214","-","6.1"
"2024/01/22","20:00","4.914","-","5.82"
"2024/01/22","21:00","4.256","-","5.05"
"2024/01/22","22:00","3.38","-","3.97"
"2024/01/22","23:00","2.446","-","2.97"
"2024/01/23","00:00","1.528","-","2.24"
"2024/01/23","01:00","0.652","-","1.57"
"2024/01/23","02:00","-0.025","-","0.91"
"2024/01/23","03:00","-0.232","-","0.48"
"2024/01/23","04:00","0.141","-","0.58"
"2024/01/23","05:00","0.954","-","1.32"
"2024/01/23","06:00","1.993","-","2.5"
"2024/01/23","07:00","3.038","-","3.56"
"2024/01/23","08:00","3.805","-","4.21"
"2024/01/23","09:00","4.068","-","4.49"
"2024/01/23","10:00","3.836","-","4.44"
"2024/01/23","11:00","3.338","-","4.13"
"2024/01/23","12:00","2.838","-","3.54"
"2024/01/23","13:00","2.493","-","3"
"2024/01/23","14:00","2.409","-","2.81"
"2024/01/23","15:00","2.711","-","3.08"
"2024/01/23","16:00","3.394","-","3.77"
"2024/01/23","17:00","4.205","-","4.64"
"2024/01/23","18:00","4.847","-","5.35"
"2024/01/23","19:00","5.187","-","5.74"
"2024/01/23","20:00","5.177","-","5.79"
"2024/01/23","21:00","4.778","-","5.38"
"2024/01/23","22:00","4.041","-","4.47"
"2024/01/23","23:00","3.127","-","3.37"
"2024/01/24","00:00","2.188","-","2.4"
"2024/01/24","01:00","1.278","-","1.69"
"2024/01/24","02:00","0.436","-","1.01"
"2024/01/24","03:00","-0.151","-","0.4"
"2024/01/24","04:00","-0.214","-","0.11"
"2024/01/24","05:00","0.309","-","0.39"
"2024/01/24","06:00","1.235","-","1.37"
"2024/01/24","07:00","2.336","-","2.63"
"2024/01/24","08:00","3.374","-","3.56"
"2024/01/24","09:00","4.064","-","4.12"
"2024/01/24","10:00","4.216","-","4.3"
"2024/01/24","11:00","3.893","-","4.19"
"2024/01/24","12:00","3.345","-","3.77"
"2024/01/24","13:00","2.824","-","3.16"
"2024/01/24","14:00","2.477","-","2.68"
"2024/01/24","15:00","2.42","-","2.6"
"2024/01/24","16:00","2.781","-","3"
"2024/01/24","17:00","3.514","-","3.84"
"2024/01/24","18:00","4.323","-","4.75"
"2024/01/24","19:00","4.915","-","5.42"
"2024/01/24","20:00","5.17","-","5.78"
"2024/01/24","21:00","5.046","-","5.76"
"2024/01/24","22:00","4.527","-","5.2"
"2024/01/24","23:00","3.703","-","4.18"
"2024/01/25","00:00","2.753","-","3.07"
"2024/01/25","01:00","1.823","-","2.16"
"2024/01/25","02:00","0.957","-","1.47"
"2024/01/25","03:00","0.208","-","0.8"
"2024/01/25","04:00","-0.214","-","0.34"
"2024/01/25","05:00","-0.072","-","0.22"
"2024/01/25","06:00","0.621","-","0.78"
"2024/01/25","07:00","1.637","-","1.95"
"2024/01/25","08:00","2.737","-","3.11"
"2024/01/25","09:00","3.685","-","3.92"
"2024/01/25","10:00","4.225","-","4.31"
"2024/01/25","11:00","4.223","-","4.33"
"2024/01/25","12:00","3.791","-","4.06"
"2024/01/25","13:00","3.195","-","3.46"
"2024/01/25","14:00","2.668","-","2.81"
"2024/01/25","15:00","2.346","-","2.4"
"2024/01/25","16:00","2.355","-","2.47"
"2024/01/25","17:00","2.81","-","3.02"
"2024/01/25","18:00","3.607","-","3.93"
"2024/01/25","19:00","4.408","-","4.81"
"2024/01/25","20:00","4.928","-","5.4"
"2024/01/25","21:00","5.07","-","5.62"
"2024/01/25","22:00","4.808","-","5.38"
"2024/01/25","23:00","4.158","-","4.62"
"2024/01/26","00:00","3.249","-","3.49"
"2024/01/26","01:00","2.275","-","2.44"
"2024/01/26","02:00","1.378","-","1.6"
"2024/01/26","03:00","0.599","-","0.9"
"2024/01/26","04:00","0.01","-","0.34"
